n,s,trial,n_compares,time_taken_ms
1000,14,16,9168,38
1000,14,17,9116,38
1000,14,18,9148,38
1000,14,19,9126,38
1000,14,20,9175,38
1000,14,21,9192,38
1000,14,22,9169,38
1000,14,23,9222,38
1000,14,24,9136,37
1000,14,25,9156,38
1000,14,26,9101,37
1000,14,27,9147,37
1000,14,28,9148,38
1000,14,29,9204,38
1000,15,0,9561,37
1000,15,1,9539,37
1000,15,2,9506,36
1000,15,3,9495,36
1000,15,4,9633,41
1000,15,5,9440,36
1000,15,6,9540,37
1000,15,7,9539,36
1000,15,8,9541,36
1000,15,9,9486,36
1000,15,10,9545,36
1000,15,11,9601,36
1000,15,12,9597,36
1000,15,13,9515,36
1000,15,14,9567,36
1000,15,15,9557,36
1000,15,16,9567,36
1000,15,17,9542,36
1000,15,18,9516,36
1000,15,19,9551,36
1000,15,20,9608,36
1000,15,21,9585,36
1000,15,22,9619,36
1000,15,23,9606,36
1000,15,24,9581,41
1000,15,25,9501,36
1000,15,26,9559,36
1000,15,27,9541,36
1000,15,28,9604,36
1000,15,29,9593,37
1000,16,0,10263,32
1000,16,1,10302,32
1000,16,2,10185,32
1000,16,3,10248,32
1000,16,4,10456,32
1000,16,5,10164,32
1000,16,6,10400,32
1000,16,7,10319,32
1000,16,8,10380,32
1000,16,9,10238,32
1000,16,10,10328,32
1000,16,11,10475,32
1000,16,12,10441,32
1000,16,13,10309,31
1000,16,14,10341,32
1000,16,15,10433,32
1000,16,16,10443,42
1000,16,17,10261,32
1000,16,18,10359,32
1000,16,19,10353,32
1000,16,20,10464,32
1000,16,21,10259,32
1000,16,22,10425,32
1000,16,23,10385,32
1000,16,24,10396,32
1000,16,25,10390,32
1000,16,26,10424,31
1000,16,27,10413,32
1000,16,28,10199,32
1000,16,29,10378,32
1000,17,0,10263,32
1000,17,1,10302,32
1000,17,2,10185,32
1000,17,3,10248,31
1000,17,4,10456,32
1000,17,5,10164,31
1000,17,6,10400,32
1000,17,7,10319,32
1000,17,8,10380,36
1000,17,9,10238,32
1000,17,10,10328,32
1000,17,11,10475,32
1000,17,12,10441,32
1000,17,13,10309,32
1000,17,14,10341,32
1000,17,15,10433,32
1000,17,16,10443,31
1000,17,17,10261,32
1000,17,18,10359,32
1000,17,19,10353,32
1000,17,20,10464,32
1000,17,21,10259,32
1000,17,22,10425,32
1000,17,23,10385,32
1000,17,24,10396,32
1000,17,25,10390,32
1000,17,26,10424,32
1000,17,27,10413,31
1000,17,28,10199,32
1000,17,29,10378,32
1000,18,0,10263,32
1000,18,1,10302,32
1000,18,2,10185,32
1000,18,3,10248,31
1000,18,4,10456,32
1000,18,5,10164,32
1000,18,6,10400,32
1000,18,7,10319,32
1000,18,8,10380,32
1000,18,9,10238,32
1000,18,10,10328,32
1000,18,11,10475,32
1000,18,12,10441,32
1000,18,13,10309,32
1000,18,14,10341,32
1000,18,15,10433,32
1000,18,16,10443,32
1000,18,17,10261,32
1000,18,18,10359,32
1000,18,19,10353,32
1000,18,20,10464,31
1000,18,21,10259,32
1000,18,22,10425,32
1000,18,23,10385,35
1000,18,24,10396,32
1000,18,25,10390,32
1000,18,26,10424,32
1000,18,27,10413,32
1000,18,28,10199,32
1000,18,29,10378,32
1000,19,0,10263,32
1000,19,1,10302,32
1000,19,2,10185,32
1000,19,3,10248,31
1000,19,4,10456,32
1000,19,5,10164,32
1000,19,6,10400,32
1000,19,7,10319,32
1000,19,8,10380,32
1000,19,9,10238,32
1000,19,10,10328,32
1000,19,11,10475,32
1000,19,12,10441,32
1000,19,13,10309,32
1000,19,14,10341,32
1000,19,15,10433,32
1000,19,16,10443,32
1000,19,17,10261,32
1000,19,18,10359,32
1000,19,19,10353,32
1000,19,20,10464,32
1000,19,21,10259,32
1000,19,22,10425,32
1000,19,23,10385,32
1000,19,24,10396,32
1000,19,25,10390,32
1000,19,26,10424,32
1000,19,27,10413,32
1000,19,28,10199,32
1000,19,29,10378,32
1000,20,0,10263,32
1000,20,1,10302,32
1000,20,2,10185,32
1000,20,3,10248,31
1000,20,4,10456,32
1000,20,5,10164,32
1000,20,6,10400,32
1000,20,7,10319,32
1000,20,8,10380,35
1000,20,9,10238,32
1000,20,10,10328,32
1000,20,11,10475,31
1000,20,12,10441,32
1000,20,13,10309,32
1000,20,14,10341,31
1000,20,15,10433,32
1000,20,16,10443,32
1000,20,17,10261,32
1000,20,18,10359,32
1000,20,19,10353,32
1000,20,20,10464,32
1000,20,21,10259,32
1000,20,22,10425,32
1000,20,23,10385,32
1000,20,24,10396,32
1000,20,25,10390,32
1000,20,26,10424,32
1000,20,27,10413,32
1000,20,28,10199,32
1000,20,29,10378,32
1000,21,0,10263,36
1000,21,1,10302,32
1000,21,2,10185,32
1000,21,3,10248,31
1000,21,4,10456,32
1000,21,5,10164,32
1000,21,6,10400,32
1000,21,7,10319,32
1000,21,8,10380,32
1000,21,9,10238,32
1000,21,10,10328,32
1000,21,11,10475,32
1000,21,12,10441,32
1000,21,13,10309,32
1000,21,14,10341,32
1000,21,15,10433,32
1000,21,16,10443,32
1000,21,17,10261,32
1000,21,18,10359,32
1000,21,19,10353,32
1000,21,20,10464,32
1000,21,21,10259,32
1000,21,22,10425,33
1000,21,23,10385,32
1000,21,24,10396,32
1000,21,25,10390,32
1000,21,26,10424,32
1000,21,27,10413,31
1000,21,28,10199,32
1000,21,29,10378,32
1000,22,0,10263,32
1000,22,1,10302,32
1000,22,2,10185,32
1000,22,3,10248,32
1000,22,4,10456,32
1000,22,5,10164,32
1000,22,6,10400,32
1000,22,7,10319,32
1000,22,8,10380,32
1000,22,9,10238,32
1000,22,10,10328,32
1000,22,11,10475,32
1000,22,12,10441,32
1000,22,13,10309,32
1000,22,14,10341,32
1000,22,15,10433,35
1000,22,16,10443,32
1000,22,17,10261,32
1000,22,18,10359,32
1000,22,19,10353,31
1000,22,20,10464,31
1000,22,21,10259,32
1000,22,22,10425,32
1000,22,23,10385,32
1000,22,24,10396,32
1000,22,25,10390,32
1000,22,26,10424,32
1000,22,27,10413,32
1000,22,28,10199,32
1000,22,29,10378,32
1000,23,0,10263,32
1000,23,1,10302,32
1000,23,2,10185,32
1000,23,3,10248,31
1000,23,4,10456,32
1000,23,5,10164,32
1000,23,6,10400,32
1000,23,7,10319,35
1000,23,8,10380,32
1000,23,9,10238,32
1000,23,10,10328,32
1000,23,11,10475,32
1000,23,12,10441,32
1000,23,13,10309,32
1000,23,14,10341,32
1000,23,15,10433,31
1000,23,16,10443,32
1000,23,17,10261,32
1000,23,18,10359,32
1000,23,19,10353,32
1000,23,20,10464,32
1000,23,21,10259,32
1000,23,22,10425,32
1000,23,23,10385,32
1000,23,24,10396,32
1000,23,25,10390,32
1000,23,26,10424,32
1000,23,27,10413,32
1000,23,28,10199,32
1000,23,29,10378,37
1000,24,0,10263,32
1000,24,1,10302,32
1000,24,2,10185,32
1000,24,3,10248,32
1000,24,4,10456,32
1000,24,5,10164,32
1000,24,6,10400,32
1000,24,7,10319,32
1000,24,8,10380,32
1000,24,9,10238,32
1000,24,10,10328,32
1000,24,11,10475,32
1000,24,12,10441,32
1000,24,13,10309,32
1000,24,14,10341,32
1000,24,15,10433,31
1000,24,16,10443,32
1000,24,17,10261,32
1000,24,18,10359,32
1000,24,19,10353,32
1000,24,20,10464,32
1000,24,21,10259,33
1000,24,22,10425,32
1000,24,23,10385,32
1000,24,24,10396,32
1000,24,25,10390,32
1000,24,26,10424,32
1000,24,27,10413,32
1000,24,28,10199,32
1000,24,29,10378,32
1000,25,0,10263,32
1000,25,1,10302,32
1000,25,2,10185,32
1000,25,3,10248,31
1000,25,4,10456,32
1000,25,5,10164,32
1000,25,6,10400,32
1000,25,7,10319,32
1000,25,8,10380,32
1000,25,9,10238,32
1000,25,10,10328,32
1000,25,11,10475,31
1000,25,12,10441,32
1000,25,13,10309,32
1000,25,14,10341,35
1000,25,15,10433,32
1000,25,16,10443,32
1000,25,17,10261,32
1000,25,18,10359,32
1000,25,19,10353,32
1000,25,20,10464,32
1000,25,21,10259,32
1000,25,22,10425,32
1000,25,23,10385,32
1000,25,24,10396,32
1000,25,25,10390,32
1000,25,26,10424,32
1000,25,27,10413,32
1000,25,28,10199,32
1000,25,29,10378,32
1000,26,0,10263,32
1000,26,1,10302,32
1000,26,2,10185,32
1000,26,3,10248,31
1000,26,4,10456,32
1000,26,5,10164,32
1000,26,6,10400,36
1000,26,7,10319,32
1000,26,8,10380,32
1000,26,9,10238,32
1000,26,10,10328,32
1000,26,11,10475,32
1000,26,12,10441,32
1000,26,13,10309,32
1000,26,14,10341,32
1000,26,15,10433,32
1000,26,16,10443,31
1000,26,17,10261,32
1000,26,18,10359,32
1000,26,19,10353,32
1000,26,20,10464,31
1000,26,21,10259,32
1000,26,22,10425,32
1000,26,23,10385,32
1000,26,24,10396,32
1000,26,25,10390,32
1000,26,26,10424,32
