n,s,trial,n_compares,time_taken_ms
1000,40,12,13660,396
1000,40,13,13545,395
1000,40,14,13419,378
1000,41,0,13281,376
1000,41,1,13417,386
1000,41,2,13422,386
1000,41,3,13450,401
1000,41,4,13590,387
1000,41,5,13114,394
1000,41,6,13392,377
1000,41,7,13149,375
1000,41,8,13162,374
1000,41,9,13368,378
1000,41,10,13416,381
1000,41,11,13741,383
1000,41,12,13660,378
1000,41,13,13545,377
1000,41,14,13419,382
1000,42,0,13281,390
1000,42,1,13417,379
1000,42,2,13422,400
1000,42,3,13450,403
1000,42,4,13590,378
1000,42,5,13114,390
1000,42,6,13392,405
1000,42,7,13149,379
1000,42,8,13162,375
1000,42,9,13368,385
1000,42,10,13416,391
1000,42,11,13741,397
1000,42,12,13660,391
1000,42,13,13545,381
1000,42,14,13419,376
1000,43,0,13281,381
1000,43,1,13417,376
1000,43,2,13422,387
1000,43,3,13450,390
1000,43,4,13590,377
1000,43,5,13114,377
1000,43,6,13392,380
1000,43,7,13149,383
1000,43,8,13162,382
1000,43,9,13368,403
1000,43,10,13416,382
1000,43,11,13741,383
1000,43,12,13660,392
1000,43,13,13545,376
1000,43,14,13419,376
1000,44,0,13281,379
1000,44,1,13417,374
1000,44,2,13422,379
1000,44,3,13450,377
1000,44,4,13590,377
1000,44,5,13114,376
1000,44,6,13392,383
1000,44,7,13149,402
1000,44,8,13162,387
1000,44,9,13368,376
1000,44,10,13416,377
1000,44,11,13741,399
1000,44,12,13660,389
1000,44,13,13545,377
1000,44,14,13419,375
1000,45,0,13281,409
1000,45,1,13417,388
1000,45,2,13422,377
1000,45,3,13450,376
1000,45,4,13590,390
1000,45,5,13114,380
1000,45,6,13392,395
1000,45,7,13149,378
1000,45,8,13162,383
1000,45,9,13368,387
1000,45,10,13416,384
1000,45,11,13741,379
1000,45,12,13660,385
1000,45,13,13545,389
1000,45,14,13419,388
1000,46,0,13281,376
1000,46,1,13417,383
1000,46,2,13422,398
1000,46,3,13450,380
1000,46,4,13590,412
1000,46,5,13114,401
1000,46,6,13392,376
1000,46,7,13149,374
1000,46,8,13162,377
1000,46,9,13368,375
1000,46,10,13416,381
1000,46,11,13741,391
1000,46,12,13660,412
1000,46,13,13545,384
1000,46,14,13419,380
1000,47,0,13281,376
1000,47,1,13417,395
1000,47,2,13422,391
1000,47,3,13450,379
1000,47,4,13590,389
1000,47,5,13114,376
1000,47,6,13392,385
1000,47,7,13149,379
1000,47,8,13162,374
1000,47,9,13368,375
1000,47,10,13416,385
1000,47,11,13741,381
1000,47,12,13660,390
1000,47,13,13545,383
1000,47,14,13419,377
1000,48,0,13281,376
1000,48,1,13417,376
1000,48,2,13422,376
1000,48,3,13450,381
1000,48,4,13590,400
1000,48,5,13114,377
1000,48,6,13392,390
1000,48,7,13149,377
1000,48,8,13162,373
1000,48,9,13368,379
1000,48,10,13416,377
1000,48,11,13741,378
1000,48,12,13660,381
1000,48,13,13545,381
1000,48,14,13419,377
1000,49,0,13281,374
1000,49,1,13417,376
1000,49,2,13422,401
1000,49,3,13450,391
1000,49,4,13590,376
1000,49,5,13114,376
1000,49,6,13392,396
1000,49,7,13149,387
1000,49,8,13162,377
1000,49,9,13368,375
1000,49,10,13416,376
1000,49,11,13741,378
1000,49,12,13660,394
1000,49,13,13545,376
1000,49,14,13419,376
1000,50,0,13281,375
1000,50,1,13417,375
1000,50,2,13422,375
1000,50,3,13450,375
1000,50,4,13590,391
1000,50,5,13114,384
1000,50,6,13392,377
1000,50,7,13149,376
1000,50,8,13162,388
1000,50,9,13368,375
1000,50,10,13416,406
1000,50,11,13741,382
1000,50,12,13660,378
1000,50,13,13545,378
1000,50,14,13419,377
1000,51,0,13281,379
1000,51,1,13417,392
1000,51,2,13422,386
1000,51,3,13450,376
1000,51,4,13590,377
1000,51,5,13114,383
1000,51,6,13392,381
1000,51,7,13149,394
1000,51,8,13162,378
1000,51,9,13368,382
1000,51,10,13416,380
1000,51,11,13741,379
1000,51,12,13660,385
1000,51,13,13545,401
1000,51,14,13419,381
1000,52,0,13281,386
1000,52,1,13417,376
1000,52,2,13422,415
1000,52,3,13450,396
1000,52,4,13590,388
1000,52,5,13114,377
1000,52,6,13392,377
1000,52,7,13149,375
1000,52,8,13162,395
1000,52,9,13368,411
1000,52,10,13416,378
1000,52,11,13741,379
1000,52,12,13660,381
1000,52,13,13545,385
1000,52,14,13419,388
1000,53,0,13281,389
1000,53,1,13417,379
1000,53,2,13422,378
1000,53,3,13450,376
1000,53,4,13590,378
1000,53,5,13114,378
1000,53,6,13392,380
1000,53,7,13149,375
1000,53,8,13162,374
1000,53,9,13368,379
1000,53,10,13416,376
1000,53,11,13741,382
1000,53,12,13660,378
1000,53,13,13545,392
1000,53,14,13419,377
1000,54,0,13281,376
1000,54,1,13417,379
1000,54,2,13422,376
1000,54,3,13450,377
1000,54,4,13590,385
1000,54,5,13114,375
1000,54,6,13392,376
1000,54,7,13149,376
1000,54,8,13162,375
1000,54,9,13368,375
1000,54,10,13416,376
1000,54,11,13741,382
1000,54,12,13660,379
1000,54,13,13545,378
1000,54,14,13419,390
1000,55,0,13281,377
1000,55,1,13417,376
1000,55,2,13422,380
1000,55,3,13450,376
1000,55,4,13590,377
1000,55,5,13114,380
1000,55,6,13392,376
1000,55,7,13149,376
1000,55,8,13162,374
1000,55,9,13368,377
1000,55,10,13416,380
1000,55,11,13741,378
1000,55,12,13660,377
1000,55,13,13545,380
1000,55,14,13419,377
1000,56,0,13281,379
1000,56,1,13417,375
1000,56,2,13422,380
1000,56,3,13450,377
1000,56,4,13590,383
1000,56,5,13114,373
1000,56,6,13392,383
1000,56,7,13149,385
1000,56,8,13162,377
1000,56,9,13368,375
1000,56,10,13416,386
1000,56,11,13741,391
1000,56,12,13660,383
1000,56,13,13545,381
1000,56,14,13419,387
1000,57,0,13281,405
1000,57,1,13417,387
1000,57,2,13422,404
1000,57,3,13450,375
1000,57,4,13590,409
1000,57,5,13114,380
1000,57,6,13392,376
1000,57,7,13149,385
1000,57,8,13162,375
1000,57,9,13368,375
1000,57,10,13416,377
1000,57,11,13741,392
1000,57,12,13660,391
1000,57,13,13545,394
1000,57,14,13419,384
1000,58,0,13281,376
1000,58,1,13417,376
1000,58,2,13422,412
1000,58,3,13450,389
1000,58,4,13590,377
1000,58,5,13114,378
1000,58,6,13392,377
1000,58,7,13149,392
1000,58,8,13162,401
1000,58,9,13368,394
1000,58,10,13416,388
1000,58,11,13741,379
1000,58,12,13660,378
1000,58,13,13545,377
1000,58,14,13419,376
1000,59,0,13281,380
1000,59,1,13417,376
1000,59,2,13422,377
1000,59,3,13450,380
1000,59,4,13590,377
1000,59,5,13114,373
1000,59,6,13392,381
1000,59,7,13149,379
1000,59,8,13162,375
1000,59,9,13368,375
1000,59,10,13416,376
1000,59,11,13741,379
1000,59,12,13660,382
1000,59,13,13545,378
1000,59,14,13419,382
1000,60,0,13281,376
1000,60,1,13417,376
1000,60,2,13422,385
1000,60,3,13450,376
1000,60,4,13590,377
1000,60,5,13114,377
1000,60,6,13392,377
1000,60,7,13149,374
1000,60,8,13162,376
1000,60,9,13368,378
1000,60,10,13416,377
1000,60,11,13741,378
1000,60,12,13660,379
1000,60,13,13545,378
1000,60,14,13419,392
1000,61,0,13281,408
1000,61,1,13417,379
1000,61,2,13422,381
1000,61,3,13450,375
1000,61,4,13590,389
1000,61,5,13114,381
1000,61,6,13392,380
1000,61,7,13149,374
1000,61,8,13162,376
1000,61,9,13368,379
1000,61,10,13416,377
1000,61,11,13741,379
1000,61,12,13660,378
1000,61,13,13545,377
1000,61,14,13419,377
1000,62,0,16827,366
1000,62,1,16707,364
1000,62,2,16785,365
1000,62,3,17105,367
1000,62,4,16966,367
1000,62,5,16677,365
1000,62,6,16706,365
1000,62,7,16669,365
1000,62,8,16871,366
1000,62,9,16585,364
1000,62,10,16586,364
1000,62,11,17195,367
1000,62,12,17035,371
1000,62,13,17170,368
1000,62,14,17008,367
1000,63,0,20057,349
1000,63,1,20517,351
1000,63,2,20223,349
1000,63,3,20549,352
1000,63,4,20625,352
1000,63,5,20240,349
1000,63,6,19976,349
1000,63,7,20298,351
1000,63,8,20483,351
1000,63,9,20124,349
1000,63,10,20380,351
1000,63,11,20769,353
1000,63,12,20572,352
1000,63,13,21049,355
1000,63,14,20670,353
1000,64,0,20057,349
1000,64,1,20517,352
1000,64,2,20223,349
1000,64,3,20549,352
1000,64,4,20625,353
1000,64,5,20240,352
1000,64,6,19976,348
1000,64,7,20298,364
1000,64,8,20483,351
1000,64,9,20124,349
1000,64,10,20380,351
1000,64,11,20769,353
1000,64,12,20572,352
1000,64,13,21049,354
1000,64,14,20670,353
1000,65,0,20057,352
1000,65,1,20517,351
1000,65,2,20223,349
1000,65,3,20549,351
1000,65,4,20625,352
1000,65,5,20240,350
1000,65,6,19976,348
1000,65,7,20298,351
1000,65,8,20483,352
1000,65,9,20124,349
1000,65,10,20380,351
1000,65,11,20769,353
1000,65,12,20572,352
1000,65,13,21049,355
1000,65,14,20670,353
1000,66,0,20057,348
1000,66,1,20517,351
1000,66,2,20223,349
1000,66,3,20549,352
1000,66,4,20625,352
1000,66,5,20240,350
1000,66,6,19976,348
1000,66,7,20298,352
1000,66,8,20483,351
1000,66,9,20124,350
1000,66,10,20380,351
1000,66,11,20769,354
1000,66,12,20572,353
1000,66,13,21049,355
1000,66,14,20670,353
1000,67,0,20057,352
1000,67,1,20517,359
1000,67,2,20223,358
1000,67,3,20549,366
1000,67,4,20625,378
1000,67,5,20240,377
1000,67,6,19976,352
1000,67,7,20298,350
1000,67,8,20483,365
1000,67,9,20124,353
1000,67,10,20380,382
1000,67,11,20769,353
1000,67,12,20572,352
1000,67,13,21049,358
1000,67,14,20670,377
1000,68,0,20057,353
1000,68,1,20517,352
1000,68,2,20223,349
1000,68,3,20549,356
1000,68,4,20625,352
1000,68,5,20240,363
1000,68,6,19976,368
1000,68,7,20298,361
1000,68,8,20483,351
1000,68,9,20124,349
1000,68,10,20380,350
1000,68,11,20769,365
1000,68,12,20572,353
1000,68,13,21049,358
1000,68,14,20670,353
1000,69,0,20057,359
1000,69,1,20517,354
1000,69,2,20223,348
1000,69,3,20549,371
1000,69,4,20625,355
1000,69,5,20240,368
1000,69,6,19976,377
1000,69,7,20298,358
1000,69,8,20483,354
1000,69,9,20124,365
1000,69,10,20380,354
1000,69,11,20769,360
1000,69,12,20572,352
1000,69,13,21049,354
1000,69,14,20670,363
1000,70,0,20057,365
1000,70,1,20517,364
1000,70,2,20223,356
1000,70,3,20549,352
1000,70,4,20625,352
1000,70,5,20240,355
1000,70,6,19976,361
1000,70,7,20298,350
1000,70,8,20483,355
1000,70,9,20124,349
1000,70,10,20380,350
1000,70,11,20769,368
1000,70,12,20572,375
1000,70,13,21049,385
1000,70,14,20670,399
1000,71,0,20057,352
1000,71,1,20517,351
1000,71,2,20223,356
1000,71,3,20549,352
1000,71,4,20625,353
1000,71,5,20240,350
1000,71,6,19976,348
1000,71,7,20298,351
1000,71,8,20483,351
1000,71,9,20124,349
1000,71,10,20380,351
1000,71,11,20769,356
1000,71,12,20572,359
1000,71,13,21049,355
1000,71,14,20670,354
1000,72,0,20057,348
1000,72,1,20517,361
1000,72,2,20223,348
1000,72,3,20549,355
1000,72,4,20625,351
1000,72,5,20240,349
1000,72,6,19976,349
1000,72,7,20298,370
1000,72,8,20483,352
1000,72,9,20124,353
1000,72,10,20380,352
1000,72,11,20769,353
1000,72,12,20572,352
1000,72,13,21049,367
1000,72,14,20670,357
1000,73,0,20057,348
1000,73,1,20517,351
1000,73,2,20223,349
1000,73,3,20549,355
1000,73,4,20625,352
1000,73,5,20240,362
1000,73,6,19976,357
1000,73,7,20298,350
1000,73,8,20483,351
1000,73,9,20124,349
1000,73,10,20380,351
1000,73,11,20769,353
1000,73,12,20572,352
1000,73,13,21049,355
1000,73,14,20670,356
1000,74,0,20057,349
1000,74,1,20517,351
1000,74,2,20223,349
1000,74,3,20549,352
1000,74,4,20625,353
1000,74,5,20240,349
1000,74,6,19976,351
1000,74,7,20298,351
1000,74,8,20483,351
1000,74,9,20124,349
1000,74,10,20380,354
1000,74,11,20769,353
1000,74,12,20572,351
1000,74,13,21049,355
1000,74,14,20670,366
1000,75,0,20057,360
1000,75,1,20517,351
1000,75,2,20223,349
1000,75,3,20549,352
1000,75,4,20625,353
1000,75,5,20240,349
1000,75,6,19976,348
1000,75,7,20298,353
1000,75,8,20483,351
1000,75,9,20124,348
1000,75,10,20380,350
1000,75,11,20769,381
1000,75,12,20572,366
1000,75,13,21049,358
1000,75,14,20670,365
1000,76,0,20057,352
1000,76,1,20517,368
1000,76,2,20223,356
1000,76,3,20549,352
1000,76,4,20625,352
1000,76,5,20240,357
1000,76,6,19976,348
1000,76,7,20298,368
1000,76,8,20483,372
1000,76,9,20124,369
1000,76,10,20380,358
1000,76,11,20769,353
1000,76,12,20572,355
1000,76,13,21049,357
1000,76,14,20670,366
1000,77,0,20057,348
1000,77,1,20517,351
1000,77,2,20223,353
1000,77,3,20549,352
1000,77,4,20625,352
1000,77,5,20240,353
1000,77,6,19976,359
1000,77,7,20298,361
1000,77,8,20483,355
1000,77,9,20124,349
1000,77,10,20380,350
1000,77,11,20769,352
1000,77,12,20572,353
1000,77,13,21049,355
1000,77,14,20670,353
